"id","printed","normalized","host","nearbyProject","contextClassifications","occurrenceCount","printedPages","pdfPages","chapters","representativeText","extractionStatus","directoryDecision","currentResolutionStatus","currentUrl","editorialNotes"
"URL-0151","http://firstmonday.org/issues/issue7_4/hargittai/index.html","http://firstmonday.org/issues/issue7_4/hargittai/index.html","firstmonday.org","First Monday","article / report / publication","1","116","131","4 - Countering Enclosure: Reclaiming the Knowledge Commons","2002060402t.htm. 32. Eszter Hargittai, “Second-Level Digital Divide: Differences in People's Online Skills,” First Monday, 7/4 (April 2002), http://firstmonday.org/issues/ issue7_4/hargittai/index.html. 33. Nancy Kranich, “Literacy in the Digital Age,” in Susan Kretchmer, ed., Navigating the Network Society: The Challenges and Opportunities of the","Book-extracted","","","",""
"URL-0152","http://www.law.duke.edu/shell/cite.pl?52+Duke+L.+J.+1245","http://www.law.duke.edu/shell/cite.pl?52+Duke+L.+J.+1245","www.law.duke.edu","Duke University School of Law / Law and Contemporary Problems","article / report / publication","1","116","131","4 - Countering Enclosure: Reclaiming the Knowledge Commons","36. Yochai Benkler, “Freedom in the Commons: Towards a Political Economy of Information,” Duke Law Journal 55/6 (April 2003): 1245–1276 (quote on 1256), http://www.law.duke.edu/shell/cite.pl?52+Duke+L.+J.+1245. 37. Yochai Benkler, “From Consumers to Users: Shifting the Deeper Structures of Regulation toward Sustainable Commons and User Access,” Federal Com-","Book-extracted","","","",""
"URL-0153","http://www.law.indiana.edu/fclj/pubs/v52/no3/benkler1.pdf","http://www.law.indiana.edu/fclj/pubs/v52/no3/benkler1.pdf","www.law.indiana.edu","Indiana University","article / report / publication","1","116","131","4 - Countering Enclosure: Reclaiming the Knowledge Commons","of Regulation toward Sustainable Commons and User Access,” Federal Com- munications Law Journal 52/3 (2000): 579, http://www.law.indiana.edu/ fclj/pubs/v52/no3/benkler1.pdf. 38. David Bollier, “Artists, Technology and the Ownership of Creative Content,” Center for the Creative Community, November 2003, p. 98, http://","Book-extracted","","","",""
"URL-0154","http://www.culturalcommons.org/comment-print.cfm?ID=10","http://www.culturalcommons.org/comment-print.cfm?ID=10","www.culturalcommons.org","Cultural Commons / Center for the Creative Community","article / report / publication","1","116","131","4 - Countering Enclosure: Reclaiming the Knowledge Commons","fclj/pubs/v52/no3/benkler1.pdf. 38. David Bollier, “Artists, Technology and the Ownership of Creative Content,” Center for the Creative Community, November 2003, p. 98, http:// www.culturalcommons.org/comment-print.cfm?ID=10. 116 Nancy Kranich","Book-extracted","","","",""
"URL-0155","http://www.newamerica.net/Download_Docs/pdfs/Pub_File_650_1.pdf","http://www.newamerica.net/Download_Docs/pdfs/Pub_File_650_1.pdf","www.newamerica.net","New America Foundation","article / report / publication","1","117","132","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Digest 65 (June 2003): 1–4; David Bollier, Public Assets, Private Profits: Reclaiming the American Commons in an Age of Market Enclosure (Washing- ton, DC: New America Foundation, 2001), http://www.newamerica.net/ Download_Docs/pdfs/Pub_File_650_1.pdf; David Bollier and Tim Watts, Saving the Information Commons: A New Public Interest Agenda in Digital Media (Washington, DC: New America Foundation and Public Knowledge, 2002),","Book-extracted","","","",""
"URL-0156","http://www.newamerica.net/Download_Docs/pdfs/Pub_File_866_1.pdf","http://www.newamerica.net/Download_Docs/pdfs/Pub_File_866_1.pdf","www.newamerica.net","New America Foundation","article / report / publication","1","117","132","4 - Countering Enclosure: Reclaiming the Knowledge Commons","the Information Commons: A New Public Interest Agenda in Digital Media (Washington, DC: New America Foundation and Public Knowledge, 2002), http://www.newamerica.net/Download_Docs/pdfs/Pub_File_866_1.pdf; David Bollier, Silent Theft: The Private Plunder of Our Common Wealth (New York:","Book-extracted","","","",""
"URL-0157","http://www.peterlevine.ws/goodsociety.pdf","http://www.peterlevine.ws/goodsociety.pdf","www.peterlevine.ws","Peter Levine","article / report / publication","1","117","132","4 - Countering Enclosure: Reclaiming the Knowledge Commons","(winter/spring 2003): 144–145, http://www.law.duke.edu/journals/66LCPHess. 42. Peter Levine, “Building the Electronic Commons,” The Good Society 11/3 (2002): 5–8, http://www.peterlevine.ws/goodsociety.pdf. 43. For more information, see SPARC, http://www.arl.org/sparc/core/index.asp ?page=a0.","Book-extracted","","","",""
"URL-0158","http://www.arl.org/sparc/core/index.asp?page=a0","http://www.arl.org/sparc/core/index.asp?page=a0","www.arl.org","Association of Research Libraries / SPARC","article / report / publication","1","117","132","4 - Countering Enclosure: Reclaiming the Knowledge Commons","42. Peter Levine, “Building the Electronic Commons,” The Good Society 11/3 (2002): 5–8, http://www.peterlevine.ws/goodsociety.pdf. 43. For more information, see SPARC, http://www.arl.org/sparc/core/index.asp ?page=a0. 44. American Anthropological Association, AnthroSource: Enriching Scholar- ship and Building Global Communities, http:///www.aaanet.org/anthrosource/","Book-extracted","","","",""
"URL-0159","http:///www.aaanet.org/anthrosource/index.htm","http://www.aaanet.org/anthrosource/index.htm","www.aaanet.org","American Anthropological Association / AnthroSource","initiative / declaration / policy","1","117","132","4 - Countering Enclosure: Reclaiming the Knowledge Commons","?page=a0. 44. American Anthropological Association, AnthroSource: Enriching Scholar- ship and Building Global Communities, http:///www.aaanet.org/anthrosource/ index.htm. See also “Open-Access Policy Statements by Learned Societies and Professional Associations,” http://www.earlham.edu/~peters/fos/lists.htm. For more information about these issues, see the Association of Learned and Pro-","Book-extracted","","","",""
"URL-0160","http://www.earlham.edu/~peters/fos/lists.htm","http://www.earlham.edu/~peters/fos/lists.htm","www.earlham.edu","Peter Suber / Earlham College","initiative / declaration / policy","1","117","132","4 - Countering Enclosure: Reclaiming the Knowledge Commons","ship and Building Global Communities, http:///www.aaanet.org/anthrosource/ index.htm. See also “Open-Access Policy Statements by Learned Societies and Professional Associations,” http://www.earlham.edu/~peters/fos/lists.htm. For more information about these issues, see the Association of Learned and Pro- fessional Society Publishers, website, http://www.alpsp.org/default.htm; the Free","Book-extracted","","","",""
"URL-0161","http://www.alpsp.org/default.htm","http://www.alpsp.org/default.htm","www.alpsp.org","Association of Learned and Professional Society Publishers","article / report / publication","1","117","132","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Professional Associations,” http://www.earlham.edu/~peters/fos/lists.htm. For more information about these issues, see the Association of Learned and Pro- fessional Society Publishers, website, http://www.alpsp.org/default.htm; the Free Online Scholarship Newsletter and blog, http://www.earlham.edu/~peters/fos/. 45. Peter Suber, “Removing the Barriers to Research: An Introduction to Open","Book-extracted","","","",""
"URL-0162","http://www.earlham.edu/~peters/fos/","http://www.earlham.edu/~peters/fos/","www.earlham.edu","Peter Suber / Earlham College","article / report / publication","2","117, 118","132, 133","4 - Countering Enclosure: Reclaiming the Knowledge Commons","more information about these issues, see the Association of Learned and Pro- fessional Society Publishers, website, http://www.alpsp.org/default.htm; the Free Online Scholarship Newsletter and blog, http://www.earlham.edu/~peters/fos/. 45. Peter Suber, “Removing the Barriers to Research: An Introduction to Open Access for Librarians,” College & Research Libraries News 64/2 (February","Book-extracted","","","",""
"URL-0163","http://www.earlham.edu/~peters/writing/acrl.htm","http://www.earlham.edu/~peters/writing/acrl.htm","www.earlham.edu","Peter Suber / Earlham College","web resource","2","117, 206","132, 221","4 - Countering Enclosure: Reclaiming the Knowledge Commons | 7 - Creating an Intellectual Commons through Open Access","45. Peter Suber, “Removing the Barriers to Research: An Introduction to Open Access for Librarians,” College & Research Libraries News 64/2 (February 2003): 92–94, 113, http://www.earlham.edu/~peters/writing/acrl.htm; Gerry McKiernan, “Open Access and Retrieval: Liberating the Scholarly Literature,” in David Fowler, ed., E-Serials Collection Management: Transitions, Trends, and","Book-extracted","","","",""
"URL-0164","http://www.public.iastate.edu/~gerrymck/Open.pdf","http://www.public.iastate.edu/~gerrymck/Open.pdf","www.public.iastate.edu","Iowa State University / Gerry McKiernan","article / report / publication","1","117","132","4 - Countering Enclosure: Reclaiming the Knowledge Commons","in David Fowler, ed., E-Serials Collection Management: Transitions, Trends, and Technicalities (New York: Haworth Information Press, 2004), 197–220, http://www.public.iastate.edu/~gerrymck/Open.pdf; Association of Research Libraries, “What Is Open Access,” Washington, DC, http://www.arl.org/scomm/ open_access/framing.html#openaccess; David Prosser, “On the Transition of","Book-extracted","","","",""
"URL-0165","http://www.arl.org/scomm/open_access/framing.html#openaccess","http://www.arl.org/scomm/open_access/framing.html#openaccess","www.arl.org","Association of Research Libraries / SPARC","article / report / publication","1","117","132","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Technicalities (New York: Haworth Information Press, 2004), 197–220, http://www.public.iastate.edu/~gerrymck/Open.pdf; Association of Research Libraries, “What Is Open Access,” Washington, DC, http://www.arl.org/scomm/ open_access/framing.html#openaccess; David Prosser, “On the Transition of Journals to Open Access,” ARL Bimonthly Report, no. 227 (April 2003): 1–3, http://www.arl.org/newsltr/227/openaccess.html; Walt Crawford, “A Scholarly","Book-extracted","","","",""
"URL-0166","http://www.arl.org/newsltr/227/openaccess.html","http://www.arl.org/newsltr/227/openaccess.html","www.arl.org","Association of Research Libraries / SPARC","article / report / publication","1","117","132","4 - Countering Enclosure: Reclaiming the Knowledge Commons","open_access/framing.html#openaccess; David Prosser, “On the Transition of Journals to Open Access,” ARL Bimonthly Report, no. 227 (April 2003): 1–3, http://www.arl.org/newsltr/227/openaccess.html; Walt Crawford, “A Scholarly Access Perspective,” Cites & Insights: Crawford at Large, 3/13 (November 2003), http://cites.boisestate.edu/civ3i13.pdf; Paula Hane, “The Latest Develop-","Book-extracted","","","",""
"URL-0167","http://cites.boisestate.edu/civ3i13.pdf","http://cites.boisestate.edu/civ3i13.pdf","cites.boisestate.edu","Cites & Insights","article / report / publication","1","117","132","4 - Countering Enclosure: Reclaiming the Knowledge Commons","http://www.arl.org/newsltr/227/openaccess.html; Walt Crawford, “A Scholarly Access Perspective,” Cites & Insights: Crawford at Large, 3/13 (November 2003), http://cites.boisestate.edu/civ3i13.pdf; Paula Hane, “The Latest Develop- ments in Open Access, E-Books and More,” Information Today, 21/1 (January 2, 2004), http://www.infotoday.com/IT/jan04/hane1.shtml. For a timeline of","Book-extracted","","","",""
"URL-0168","http://www.infotoday.com/IT/jan04/hane1.shtml","http://www.infotoday.com/IT/jan04/hane1.shtml","www.infotoday.com","Information Today","article / report / publication","1","117","132","4 - Countering Enclosure: Reclaiming the Knowledge Commons","2003), http://cites.boisestate.edu/civ3i13.pdf; Paula Hane, “The Latest Develop- ments in Open Access, E-Books and More,” Information Today, 21/1 (January 2, 2004), http://www.infotoday.com/IT/jan04/hane1.shtml. For a timeline of the open-access movement, see Peter Suber, “Timeline of the Free Online Countering Enclosure","Book-extracted","","","",""
"URL-0169","http://www.earlham.edu/~peters/fos/timeline.htm","http://www.earlham.edu/~peters/fos/timeline.htm","www.earlham.edu","Peter Suber / Earlham College","article / report / publication | initiative / declaration / policy","3","118, 199, 206","133, 214, 221","4 - Countering Enclosure: Reclaiming the Knowledge Commons | 7 - Creating an Intellectual Commons through Open Access","Scholarship Movement,” http://www.earlham.edu/~peters/fos/timeline.htm. See also SPARC Open Access Newsletter (Washington, DC: SPARC), http:// www.earlham.edu/~peters/fos/; Peter Suber, Open Access News Blog, http://","Book-extracted","","","",""
